tournament_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_name,city_name,country_name,team_name,team_code,opponent_name,opponent_code,home_team,away_team,goals_for,goals_against,extra_time,penalty_shootout,penalties_for,penalties_against,result,is_host,yellow_cards,red_cards,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,team_prior_matches,team_prior_win_rate,team_prior_goals_scored_avg,team_prior_goals_conceded_avg,opp_prior_matches,opp_prior_win_rate,opp_prior_goals_scored_avg,opp_prior_goals_conceded_avg,h2h_prior_matches,h2h_prior_win_rate,team_curr_form_pts_avg,team_curr_goals_scored_avg,team_curr_goals_conceded_avg,opp_curr_form_pts_avg,opp_curr_goals_scored_avg,opp_curr_goals_conceded_avg,possession_h1,possession_h2,shots_h1,shots_h2,shots_on_target_h1,shots_on_target_h2,passes_completed_h1,passes_completed_h2,passes_attempted_h1,passes_attempted_h2,corners_h1,corners_h2,fouls_h1,fouls_h2,yellow_cards_h1,yellow_cards_h2,red_cards_h1,red_cards_h2,outcome
1970 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1970-05-31,12:00,Estadio Azteca,Mexico City,Mexico,Mexico,MEX,Soviet Union,SUN,1,0,0,0,0,0,0,0,draw,1,1,0,,,,,,,,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,15,0.5333333333333333,1.6,1.2666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1970-05-31,12:00,Estadio Azteca,Mexico City,Mexico,Soviet Union,SUN,Mexico,MEX,0,1,0,0,0,0,0,0,draw,0,4,0,,,,,,,,15,0.5333333333333333,1.6,1.2666666666666666,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1970-06-03,16:00,La Bombonera,Toluca,Mexico,Sweden,SWE,Italy,ITA,0,1,0,1,0,0,0,0,lose,0,1,0,,,,,,,,16,0.5,2.375,2.1875,20,0.6,1.9,1.1,1,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1970-06-03,16:00,Estadio Jalisco,Guadalajara,Mexico,Brazil,BRA,Czechoslovakia,CSK,1,0,4,1,0,0,0,0,win,0,1,0,,,,,,,,32,0.625,2.625,1.3125,19,0.4210526315789473,1.5789473684210529,1.5263157894736843,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Win
1970 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1970-06-06,16:00,Estadio Jalisco,Guadalajara,Mexico,Romania,ROU,Czechoslovakia,CSK,1,0,2,1,0,0,0,0,win,0,1,0,,,,,,,,5,0.2,1.6,2.4,19,0.4210526315789473,1.5789473684210529,1.5263157894736843,1,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Win
1970 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1970-06-06,16:00,Estadio Jalisco,Guadalajara,Mexico,Czechoslovakia,CSK,Romania,ROU,0,1,1,2,0,0,0,0,lose,0,1,0,,,,,,,,19,0.4210526315789473,1.5789473684210529,1.5263157894736843,5,0.2,1.6,2.4,1,1.0,0.0,1.0,4.0,1.5,1.0,1.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1970-06-07,12:00,Estadio Azteca,Mexico City,Mexico,El Salvador,SLV,Mexico,MEX,0,1,0,4,0,0,0,0,lose,0,4,0,,,,,,,,0,0.0,0.0,0.0,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1970-06-07,12:00,La Bombonera,Toluca,Mexico,Sweden,SWE,Israel,ISR,1,0,1,1,0,0,0,0,draw,0,1,0,,,,,,,,16,0.5,2.375,2.1875,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1970-06-07,12:00,La Bombonera,Toluca,Mexico,Israel,ISR,Sweden,SWE,0,1,1,1,0,0,0,0,draw,0,2,0,,,,,,,,0,0.0,0.0,0.0,16,0.5,2.375,2.1875,0,0.0,0.0,0.0,2.0,0.5,0.5,1.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1970-06-07,12:00,Estadio Jalisco,Guadalajara,Mexico,England,ENG,Brazil,BRA,0,1,0,1,0,0,0,0,lose,0,1,0,,,,,,,,20,0.4,1.5,1.2,32,0.625,2.625,1.3125,2,0.0,3.0,1.0,0.0,3.0,2.5,0.5,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Loss
