tournament_name,stage_name,group_stage,knockout_stage,match_date,team_name,opponent_name,home_team,away_team,goals_for,goals_against,is_host,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,yellow_cards,red_cards,team_prior_win_rate,team_prior_matches,extra_time,penalty_shootout,outcome,year
1970 FIFA Men's World Cup,group stage,1,0,1970-05-31,Mexico,Soviet Union,1,0,0,0,1,,,,,,,,1,0,0.0588235294117647,17,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-05-31,Soviet Union,Mexico,0,1,0,0,0,,,,,,,,4,0,0.5333333333333333,15,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-03,Sweden,Italy,0,1,0,1,0,,,,,,,,1,0,0.5,16,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-03,Brazil,Czechoslovakia,1,0,4,1,0,,,,,,,,1,0,0.625,32,0,0,Win,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-06,Romania,Czechoslovakia,1,0,2,1,0,,,,,,,,1,0,0.2,5,0,0,Win,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-06,Czechoslovakia,Romania,0,1,1,2,0,,,,,,,,1,0,0.4210526315789473,19,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-07,El Salvador,Mexico,0,1,0,4,0,,,,,,,,4,0,0.0,0,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-07,Sweden,Israel,1,0,1,1,0,,,,,,,,1,0,0.5,16,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-07,Israel,Sweden,0,1,1,1,0,,,,,,,,2,0,0.0,0,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-07,England,Brazil,0,1,0,1,0,,,,,,,,1,0,0.4,20,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-10,Soviet Union,El Salvador,1,0,2,0,0,,,,,,,,1,0,0.5333333333333333,15,0,0,Win,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-10,Romania,Brazil,0,1,2,3,0,,,,,,,,2,0,0.2,5,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-11,Mexico,Belgium,1,0,1,0,1,,,,,,,,2,0,0.0588235294117647,17,0,0,Win,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-11,Belgium,Mexico,0,1,0,1,0,,,,,,,,3,0,0.0,6,0,0,Loss,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-11,Italy,Israel,1,0,0,0,0,,,,,,,,1,0,0.6,20,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-11,Israel,Italy,0,1,0,0,0,,,,,,,,2,0,0.0,0,0,0,Draw,1970
1970 FIFA Men's World Cup,group stage,1,0,1970-06-11,Czechoslovakia,England,0,1,0,1,0,,,,,,,,1,0,0.4210526315789473,19,0,0,Loss,1970
1970 FIFA Men's World Cup,quarter-finals,0,1,1970-06-14,Italy,Mexico,1,0,4,1,0,,,,,,,,1,0,0.6,20,0,0,Win,1970
1970 FIFA Men's World Cup,quarter-finals,0,1,1970-06-14,Soviet Union,Uruguay,1,0,0,1,0,,,,,,,,3,0,0.5333333333333333,15,1,0,Loss,1970
1970 FIFA Men's World Cup,quarter-finals,0,1,1970-06-14,Uruguay,Soviet Union,0,1,1,0,0,,,,,,,,3,0,0.6,20,1,0,Win,1970
1970 FIFA Men's World Cup,quarter-finals,0,1,1970-06-14,West Germany,England,1,0,3,2,0,,,,,,,,1,0,0.5909090909090909,22,1,0,Win,1970
1970 FIFA Men's World Cup,quarter-finals,0,1,1970-06-14,England,West Germany,0,1,2,3,0,,,,,,,,1,0,0.4,20,1,0,Loss,1970
1970 FIFA Men's World Cup,semi-finals,0,1,1970-06-17,Brazil,Uruguay,1,0,3,1,0,,,,,,,,1,0,0.625,32,0,0,Win,1970
1970 FIFA Men's World Cup,semi-finals,0,1,1970-06-17,Uruguay,Brazil,0,1,1,3,0,,,,,,,,3,0,0.6,20,0,0,Loss,1970
1970 FIFA Men's World Cup,semi-finals,0,1,1970-06-17,Italy,West Germany,1,0,4,3,0,,,,,,,,4,0,0.6,20,1,0,Win,1970
1970 FIFA Men's World Cup,semi-finals,0,1,1970-06-17,West Germany,Italy,0,1,3,4,0,,,,,,,,2,0,0.5909090909090909,22,1,0,Loss,1970
